entry_name	accession	gene_symbol	msa_file
1433G_HUMAN	P61981	YWHAG	1433G_HUMAN_b03.a2m
1433Z_HUMAN	P63104	YWHAZ	1433Z_HUMAN_b03.a2m
2A5D_HUMAN	Q14738	PPP2R5D	2A5D_HUMAN_b01.a2m
2A5G_HUMAN	Q13362	PPP2R5C	2A5G_HUMAN_b03.a2m
2AAA_HUMAN	P30153	PPP2R1A	2AAA_HUMAN_b03.a2m
2AAB_HUMAN	P30154	PPP2R1B	2AAB_HUMAN_b03.a2m
3BHS2_HUMAN	P26439	HSD3B2	3BHS2_HUMAN_b07.a2m
3BHS7_HUMAN	Q9H2F3	HSD3B7	3BHS7_HUMAN_b07.a2m
3BP2_HUMAN	P78314	SH3BP2	3BP2_HUMAN_b03.a2m
3MG_HUMAN	P29372	MPG	3MG_HUMAN_b05.a2m
5NT3A_HUMAN	Q9H0P0	NT5C3A	5NT3A_HUMAN_b01.a2m
5NTD_HUMAN	P21589	NT5E	5NTD_HUMAN_b01.a2m
A1ATR_HUMAN	P20848	SERPINA2	A1ATR_HUMAN_b03.a2m
A1AT_HUMAN	P01009	SERPINA1	A1AT_HUMAN_b03.a2m
A2AP_HUMAN	P08697	SERPINF2	A2AP_HUMAN_b01.a2m
A4_HUMAN	P05067	APP	A4_HUMAN_b01.a2m
AAAS_HUMAN	Q9NRG9	AAAS	AAAS_HUMAN_b03.a2m
AACT_HUMAN	P01011	SERPINA3	AACT_HUMAN_b01.a2m
AAKG2_HUMAN	Q9UGJ0	PRKAG2	AAKG2_HUMAN_b03.a2m
AAR2_HUMAN	Q9Y312	AAR2	AAR2_HUMAN_b01.a2m
AASS_HUMAN	Q9UDR5	AASS	AASS_HUMAN_b03.a2m
AATM_HUMAN	P00505	GOT2	AATM_HUMAN_b03.a2m
ABCA1_HUMAN	O95477	ABCA1	ABCA1_HUMAN_b03.a2m
ABCA3_HUMAN	Q99758	ABCA3	ABCA3_HUMAN_b03.a2m
ABCA4_HUMAN	P78363	ABCA4	ABCA4_HUMAN_b07.a2m
ABCAC_HUMAN	Q86UK0	ABCA12	ABCAC_HUMAN_b01.a2m
ABCBB_HUMAN	O95342	ABCB11	ABCBB_HUMAN_b07.a2m
ABCC8_HUMAN	Q09428	ABCC8	ABCC8_HUMAN_b10.a2m
ABCC9_HUMAN	O60706	ABCC9	ABCC9_HUMAN_b10.a2m
ABCD1_HUMAN	P33897	ABCD1	ABCD1_HUMAN_b07.a2m
ABCG8_HUMAN	Q9H221	ABCG8	ABCG8_HUMAN_b05.a2m
ABD12_HUMAN	Q8N2K0	ABHD12	ABD12_HUMAN_b03.a2m
ABHD5_HUMAN	Q8WTS1	ABHD5	ABHD5_HUMAN_b03.a2m
ABL1_HUMAN	P00519	ABL1	ABL1_HUMAN_b10.a2m
ABRX1_HUMAN	Q6UWZ7	ABRAXAS1	ABRX1_HUMAN_b01.a2m
ACAD8_HUMAN	Q9UKU7	ACAD8	ACAD8_HUMAN_b07.a2m
ACAD9_HUMAN	Q9H845	ACAD9	ACAD9_HUMAN_b10.a2m
ACADM_HUMAN	P11310	ACADM	ACADM_HUMAN_b07.a2m
ACADS_HUMAN	P16219	ACADS	ACADS_HUMAN_b07.a2m
ACADV_HUMAN	P49748	ACADVL	ACADV_HUMAN_b05.a2m
ACATN_HUMAN	O00400	SLC33A1	ACATN_HUMAN_b03.a2m
ACBD5_HUMAN	Q5T8D3	ACBD5	ACBD5_HUMAN_b01.a2m
ACDSB_HUMAN	P45954	ACADSB	ACDSB_HUMAN_b07.a2m
ACD_HUMAN	Q96AP0	ACD	ACD_HUMAN_b03.a2m
ACER3_HUMAN	Q9NUN7	ACER3	ACER3_HUMAN_b03.a2m
ACE_HUMAN	P12821	ACE	ACE_HUMAN_b10.a2m
