Run Metadata ID,Number of Fractions,Protocol,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131,tmt_131c
"01CPTAC_C_GBM_Proteome_PNNL_20210121","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-03796
Primary Tumor","C3N-03757
Primary Tumor","C3L-03735
Primary Tumor","C3L-03733
Primary Tumor
Disqualified","C3N-02682
Primary Tumor","C3N-04097
Primary Tumor","C3N-02681
Primary Tumor","C3L-02644
Primary Tumor","C3L-03740
Primary Tumor","C3N-03755
Primary Tumor"
"02CPTAC_C_GBM_Proteome_PNNL_20210121","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-03452
Primary Tumor","C3N-04686
Primary Tumor","C3N-03939
Primary Tumor","C3N-03802
Primary Tumor","C3N-04094
Primary Tumor","C3N-04100
Primary Tumor","C3L-04795
Primary Tumor","C3N-03001
Primary Tumor","C3N-04691
Primary Tumor","C3N-02259
Primary Tumor"
"03CPTAC_C_GBM_Proteome_PNNL_20210121","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-03800
Primary Tumor","C3N-05039
Primary Tumor","C3N-03480
Primary Tumor","C3N-04113
Primary Tumor
Disqualified","C3N-04098
Primary Tumor","C3N-01849
Primary Tumor","C3L-04083
Primary Tumor","C3L-04339
Primary Tumor","C3N-03448
Primary Tumor","C3L-04537
Primary Tumor"
"04CPTAC_C_GBM_Proteome_PNNL_20210121","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-03791
Primary Tumor","C3N-03449
Primary Tumor","C3N-03003
Primary Tumor","C3N-03756
Primary Tumor","C3L-02662
Primary Tumor","C3L-04539
Primary Tumor","C3N-04695
Primary Tumor","C3N-03935
Primary Tumor","C3L-04362
Primary Tumor","C3L-04359
Primary Tumor"
"05CPTAC_C_GBM_Proteome_PNNL_20210121","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3L-04038
Primary Tumor","C3L-04082
Primary Tumor","C3N-04683
Primary Tumor","C3L-04392
Primary Tumor","C3L-05239
Primary Tumor","C3L-01232
Primary Tumor","C3N-03484
Primary Tumor","C3L-04731
Primary Tumor","C3L-04090
Primary Tumor","C3N-02683
Primary Tumor"
"06CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C217710
Primary Tumor","C3N-03446
Solid Tissue Normal","C3N-01365
Solid Tissue Normal","C1230738
Recurrent Tumor","C1230738
Primary Tumor","C3N-02286
Primary Tumor","C217710
Recurrent Tumor","C289419
Primary Tumor","C289419
Recurrent Tumor","C3L-04213
Primary Tumor"
"07CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-04113
Primary Tumor","C317832
Primary Tumor","C3N-05991
Primary Tumor","C234192
Primary Tumor","ref
Not Reported","C524103
Metastatic","C3L-04081
Primary Tumor","C3N-04092
Primary Tumor","C234192
Recurrent Tumor","C317832
Recurrent Tumor"
"08CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C621273
Metastatic","C243048
Primary Tumor","C219555
Recurrent Tumor","C219555
Primary Tumor","C3N-05114
Primary Tumor","C621273
Additional Metastatic","C3N-03792
Primary Tumor","C3L-03385
Primary Tumor","C229764
Primary Tumor","C229764
Recurrent Tumor"
"09CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C2415597
Primary Tumor","C3L-05481
Primary Tumor","C3L-03372
Primary Tumor","C283515
Recurrent Tumor","C207624
Primary Tumor","C3L-06625
Primary Tumor","C283515
Primary Tumor","C231855
Primary Tumor","C207624
Recurrent Tumor","C2415597
Recurrent Tumor"
"10CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-03789
Primary Tumor","C383391
Recurrent Tumor","C224106
Recurrent Tumor","C243909
Metastatic","C224106
Primary Tumor","C3N-01197
Solid Tissue Normal","C243909
Additional Metastatic","C3N-01191
Solid Tissue Normal","C3N-04687
Primary Tumor","C383391
Primary Tumor"
"11CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C3N-04312
Primary Tumor","C298152
Primary Tumor","C464694
Primary Tumor","C287328
Primary Tumor","C287328
Recurrent Tumor","C3L-07202
Primary Tumor","C464694
Recurrent Tumor","C298152
Recurrent Tumor","C3L-07611
Primary Tumor","C3N-03025
Primary Tumor"
"12CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C760878
Recurrent Tumor","C760878
Primary Tumor","C208854
Recurrent Tumor","C3L-04085
Primary Tumor","C3N-04693
Primary Tumor","C208854
Primary Tumor","C3N-02684
Solid Tissue Normal","C330255
Recurrent Tumor","C330255
Primary Tumor","C259161
Primary Tumor"
"13CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C827913
Recurrent Tumor","C247230
Primary Tumor","C3N-03026
Solid Tissue Normal","C827913
Recurrent Tumor","C224967
Additional Metastatic","C3N-03452
Solid Tissue Normal","C224967
Metastatic","C247230
Recurrent Tumor","C827913
Primary Tumor","C3N-05135
Primary Tumor"
"14CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C204057
Recurrent Tumor","C1245129
Primary Tumor","C266664
Metastatic","C3L-04036
Primary Tumor","C1245129
Recurrent Tumor","C204057
Primary Tumor","C266664
Additional Metastatic","C3N-03450
Solid Tissue Normal","C685110
Additional Metastatic","C3L-07213
Primary Tumor"
"15CPTAC_C_GBM_Proteome_PNNL_20210830","24","CPTAC3-GBMC Proteome","ref
Not Reported","C761370
Recurrent Tumor","C223491
Metastatic","C3N-03810
Primary Tumor","C223491
Additional Metastatic","C3N-02599
Primary Tumor","C846363
Primary Tumor","C761370
Primary Tumor","C3N-03453
Primary Tumor","C846363
Recurrent Tumor","C3N-03797
Primary Tumor"
