Run Metadata ID,Number of Fractions,Protocol,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131,tmt_131c
"01CPTAC_C_UCEC_Proteome_PNNL_20191223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-01840
Primary Tumor","C3N-02062
Primary Tumor","C3L-02357
Primary Tumor","C3N-02437
Primary Tumor","C3N-02632
Primary Tumor","C3L-05848
Primary Tumor","NX021
Solid Tissue Normal","C3N-01342
Primary Tumor","NX024
Solid Tissue Normal","C3L-02412
Primary Tumor"
"02CPTAC_C_UCEC_Proteome_PNNL_20191223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-02555
Primary Tumor","C3N-01875
Primary Tumor","C3L-02741
Primary Tumor","C3N-01766
Primary Tumor","C3N-01526
Primary Tumor","C3N-02061
Primary Tumor","NX032
Solid Tissue Normal","C3N-01007
Primary Tumor","C3N-01079
Primary Tumor","C3N-02244
Primary Tumor"
"03CPTAC_C_UCEC_Proteome_PNNL_20191223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-02399
Primary Tumor","C3N-01008
Primary Tumor","C3N-02028
Primary Tumor","C3N-02271
Primary Tumor","C3L-02119
Primary Tumor","NX035
Solid Tissue Normal","C3L-02802
Primary Tumor","C3N-01847
Primary Tumor","C3N-02247
Primary Tumor","NX027
Solid Tissue Normal"
"04CPTAC_C_UCEC_Proteome_PNNL_20191223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-01633
Primary Tumor","C3N-02030
Primary Tumor","C3L-01967
Primary Tumor","C3L-03467
Primary Tumor","NX034
Solid Tissue Normal","C3N-01525
Primary Tumor","C3N-02012
Primary Tumor","C3N-01765
Primary Tumor","C3N-01341
Primary Tumor","C3L-05571
Primary Tumor
Disqualified"
"05CPTAC_C_UCEC_Proteome_PNNL_20200223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-01664
Primary Tumor","C3L-02384
Primary Tumor","C3N-03767
Primary Tumor","C3N-02274
Primary Tumor","C3N-03005
Primary Tumor","C3N-01878
Primary Tumor","NX030
Solid Tissue Normal","C3L-02468
Primary Tumor","C3L-01739
Primary Tumor","C3L-01668
Primary Tumor"
"06CPTAC_C_UCEC_Proteome_PNNL_20200223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-02216
Primary Tumor","C3L-01749
Primary Tumor","C3L-02744
Primary Tumor","C3L-01913
Primary Tumor","C3L-02747
Primary Tumor","NX020
Solid Tissue Normal","C3L-02746
Primary Tumor","C3N-02979
Primary Tumor","C3L-02990
Primary Tumor","NX038
Solid Tissue Normal"
"07CPTAC_C_UCEC_Proteome_PNNL_20200223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3N-02027
Primary Tumor","C3N-00732
Primary Tumor","NX031
Solid Tissue Normal","C3N-01764
Primary Tumor","NX036
Solid Tissue Normal","C3N-02976
Primary Tumor","C3N-03415
Primary Tumor","C3N-00755
Primary Tumor","C3N-02372
Primary Tumor","C3N-00520
Primary Tumor"
"08CPTAC_C_UCEC_Proteome_PNNL_20200223","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3N-01877
Primary Tumor","C3N-01879
Primary Tumor","C3N-02947
Primary Tumor","C3L-02347
Primary Tumor","NX026
Solid Tissue Normal","C3L-02894
Primary Tumor","C3N-01344
Primary Tumor","C3L-01672
Primary Tumor","C3N-01172
Primary Tumor","C3L-02125
Primary Tumor"
"09CPTAC_C_UCEC_Proteome_PNNL_20200522","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3N-01843
Primary Tumor","C3L-02354
Primary Tumor","C3N-01761
Primary Tumor","C3L-02409
Primary Tumor","C3L-01064
Primary Tumor","C3N-02296
Primary Tumor","C3L-02121
Primary Tumor","C3L-03589
Primary Tumor","NX025
Solid Tissue Normal","C3L-02408
Primary Tumor"
"10CPTAC_C_UCEC_Proteome_PNNL_20200522","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-02392
Primary Tumor","C3L-02545
Primary Tumor","C3L-02449
Primary Tumor","C3N-01171
Primary Tumor","NX022
Solid Tissue Normal","C3L-02411
Primary Tumor","C3N-02249
Primary Tumor","C3N-01529
Primary Tumor","C3L-05849
Primary Tumor","C3N-02298
Primary Tumor"
"11CPTAC_C_UCEC_Proteome_PNNL_20200522","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-01833
Primary Tumor","NX023
Solid Tissue Normal","C3N-02631
Primary Tumor","C3L-01631
Primary Tumor","C3L-02389
Primary Tumor","C3L-02800
Primary Tumor","C3N-00872
Primary Tumor","C3N-02678
Primary Tumor","C3N-02994
Primary Tumor","C3N-02302
Primary Tumor"
"12CPTAC_C_UCEC_Proteome_PNNL_20200522","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3L-02403
Primary Tumor","C3L-02602
Primary Tumor","C3N-01830
Primary Tumor","C3N-02337
Primary Tumor","C3L-01599
Primary Tumor","C3N-02978
Primary Tumor
Disqualified","C3L-02557
Primary Tumor","NX028
Solid Tissue Normal","C3N-02598
Primary Tumor","C3N-01848
Primary Tumor"
"13CPTAC_C_UCEC_Proteome_PNNL_20200706","24","CPTAC3-UCECC Proteome New","Ref
Not Reported","C3N-02635
Primary Tumor","C3L-01639
Primary Tumor","NX019
Solid Tissue Normal","C3N-03417
Primary Tumor","C3L-01864
Primary Tumor","C3L-01732
Primary Tumor","C3L-01277
Primary Tumor","C3N-01871
Primary Tumor","C3N-02789
Primary Tumor","C3L-03264
Primary Tumor"
